feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_away_lineup_platoon_adv_pct,2,0.5620752094237464,0.6814707716135464,0.24423119120831346,0.6821341225209416,0.6808074207061512,1,away_lineup_platoon_adv_pct,-0.0001476250877822105,-7.134079216555844e-05,0.003499721582226778,True,True,True,False,False
team_plus_away_vs_hand_games_scaled__away_lineup_platoon_adv_pct__home_faces_lhp,2,0.5600170882723381,0.6814891703506453,0.24424103225734184,0.6826949605771221,0.6802833801241684,3,"away_vs_hand_games_scaled, away_lineup_platoon_adv_pct, home_faces_lhp",-0.00012922635068335353,-6.149974313718332e-05,0.0014416004308184238,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_lineup_platoon_adv_pct,2,0.561045894507811,0.6814938522081078,0.24424540551227003,0.6827023556561462,0.6802853487600693,2,"vs_hand_games_scaled_diff, away_lineup_platoon_adv_pct",-0.00012454449322085726,-5.712648820899169e-05,0.0024704066662912805,True,True,False,False,False
team_plus_lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5626926627251844,0.6814969649653004,0.24424377442229245,0.6821790896741524,0.6808148402564485,2,"lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-0.00012143173602818802,-5.8757578186574566e-05,0.004117174883664698,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__lineup_platoon_adv_pct_diff,2,0.5548689876512731,0.6814996000732678,0.24424937248803735,0.6825791965361445,0.6804200036103912,2,"vs_hand_games_scaled_diff, lineup_platoon_adv_pct_diff",-0.00011879662806080216,-5.31595124416695e-05,-0.003706500190246542,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__env_temp__away_faces_lhp,2,0.5583698961545791,0.6815164064144394,0.2442564907197579,0.682381242362225,0.6806515704666538,3,"away_vs_hand_games_scaled, env_temp, away_faces_lhp",-0.00010199028688917533,-4.604128072110969e-05,-0.00020559168694056495,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__home_faces_lhp,2,0.5591929411429575,0.6815280017048996,0.24426004197864792,0.6827035378683637,0.6803524655414355,2,"away_vs_hand_games_scaled, home_faces_lhp",-9.039499642904403e-05,-4.249002183109862e-05,0.0006174533014378092,True,True,False,False,False
team_plus_opp_adj_offense_diff__home_faces_lhp,2,0.556515247188184,0.6815398171826578,0.24426817063119893,0.6826535403704012,0.6804260939949144,2,"opp_adj_offense_diff, home_faces_lhp",-7.857951867085156e-05,-3.436136928008926e-05,-0.0020602406533356543,True,True,False,False,False
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff__home_faces_lhp,2,0.559192517242572,0.6815445537967082,0.24427370279528934,0.682767514071938,0.6803215935214783,3,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff, home_faces_lhp",-7.384290462042475e-05,-2.8829205189678797e-05,0.0006170294010523492,True,True,False,False,False
team_plus_env_temp__home_faces_lhp,2,0.5622816489114577,0.6815457840527261,0.244272096957196,0.6826490491787538,0.6804425189266984,2,"env_temp, home_faces_lhp",-7.261264860247696e-05,-3.0435043283011387e-05,0.003706161069938041,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5602218321585075,0.6815487129167561,0.24427329802379655,0.6826772116360013,0.6804202141975109,3,"vs_hand_games_scaled_diff, lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-6.968378457250513e-05,-2.9233976682474516e-05,0.0016463443169878467,True,True,False,False,False
team_plus_lineup_platoon_adv_pct_diff__away_faces_lhp,2,0.5577517646125245,0.6815492353380577,0.24427017583161026,0.6822236555033122,0.6808748151728031,2,"lineup_platoon_adv_pct_diff, away_faces_lhp",-6.916136327095312e-05,-3.235616886876347e-05,-0.0008237232289951546,True,True,False,False,False
team_plus_opp_adj_offense_diff__away_faces_lhp__away_lineup_platoon_adv_pct,2,0.5571343960911637,0.6815510796442561,0.24427579427527205,0.6826684969627184,0.6804336623257938,3,"opp_adj_offense_diff, away_faces_lhp, away_lineup_platoon_adv_pct",-6.731705707252456e-05,-2.6737725206976704e-05,-0.001441091750356005,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__lineup_platoon_adv_pct_diff__away_faces_lhp,2,0.5571342265310095,0.6815544852982727,0.24427621147295903,0.6825651078403313,0.680543862756214,3,"vs_hand_games_scaled_diff, lineup_platoon_adv_pct_diff, away_faces_lhp",-6.391140305594956e-05,-2.632052751999625e-05,-0.0014412613105101446,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__away_faces_lhp,2,0.5577521037328329,0.6815553857016092,0.24427458973680283,0.682615466930495,0.6804953044727233,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, away_faces_lhp",-6.301099971939284e-05,-2.794226367619501e-05,-0.0008233841086867644,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_faces_lhp__home_faces_lhp,2,0.5602227647393555,0.6815690075593398,0.24427805649379364,0.6826138633493218,0.6805241517693578,3,"vs_hand_games_scaled_diff, away_faces_lhp, home_faces_lhp",-4.9389141988820384e-05,-2.447550668538412e-05,0.0016472768978358365,True,True,False,False,False
team_plus_away_faces_lhp__home_faces_lhp,2,0.5573402421183353,0.6815876642551224,0.2442880067576885,0.6826056799918956,0.6805696485183493,2,"away_faces_lhp, home_faces_lhp",-3.07324462062164e-05,-1.4525242790525139e-05,-0.0012352457231843417,True,True,False,False,False
team_plus_away_lineup_platoon_adv_pct__home_faces_lhp,2,0.5624870710382439,0.6815999101941406,0.2442947149253663,0.6826768317458854,0.6805229886423957,2,"away_lineup_platoon_adv_pct, home_faces_lhp",-1.8486507188053558e-05,-7.8170751127149e-06,0.003911583196724244,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__home_faces_lhp,2,0.5579572715193879,0.6816036100841916,0.24429750199220537,0.6825719911965226,0.6806352289718606,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, home_faces_lhp",-1.4786617137052538e-05,-5.030008273648745e-06,-0.0006182163221317705,True,True,False,False,False
